Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Limit,Offer,Scryfall ID,Cardsphere ID,Reason
99,Lightning Bolt,CLB,NM,EN,N,P,,0.72,200,ae5f9fb1-5a55-4db3-98a1-2628e3598c18,88619,pauper relevant
99,Tragic Slip,SPG,NM,EN,F,P,,9.35,200,8cf5c0b7-dd26-4515-9034-1483437fbd7e,116142,pauper relevant
99,Tragic Slip,SPG,NM,EN,N,P,,2.91,200,8cf5c0b7-dd26-4515-9034-1483437fbd7e,116128,pauper relevant
99,Thought Scour,DKA,NM,EN,F,P,,3.54,200,88bf1ebb-9d85-4b9b-a614-c7f965c0893d,12448,pauper relevant
99,Lotus Petal,SLD,NM,EN,F,P,,82.89,200,133dac2f-ef50-460e-89c4-a23870faac06,140343,pauper relevant
99,Lightning Bolt,SLD,NM,EN,N,P,,2.37,200,719d571c-0740-4212-86c2-e9ef38516f6c,134614,pauper relevant
99,Fling,PAL01,NM,EN,F,P,,17.11,200,84ba156e-09f4-415e-a7a2-95ba5d52f4a6,5660,pauper relevant
99,Ponder,PF25,NM,EN,F,P,,4.08,200,ef654617-02a2-4c2a-a5b7-06e8f47f2fd0,134240,pauper relevant
99,Prophetic Prism,ROE,NM,EN,F,P,,1.08,200,cfb90d44-8cb1-4b83-b2f2-92c19d6304fb,39715,pauper relevant
99,Spirit Link,10E,NM,EN,F,P,,3.00,200,0fc4de07-4a46-41d6-81b8-4d6299b88ee7,624,pauper relevant
99,Stinkweed Imp,RAV,NM,EN,F,P,,7.23,200,628903a0-6695-4643-80f3-9a6efc4d6a27,38353,pauper relevant
99,Stinkweed Imp,RAV,NM,EN,N,P,,0.94,200,628903a0-6695-4643-80f3-9a6efc4d6a27,38354,pauper relevant
99,Arbor Elf,M13,NM,EN,F,P,,2.49,200,b7d6b117-0c14-4455-92fc-29555ee75d97,27256,pauper relevant
99,Sign in Blood,P10,NM,EN,N,P,,3.68,200,a0ea92c4-84e3-494f-a2c0-f241521a5491,36302,pauper relevant
99,Snap,PLST,NM,EN,N,P,,1.80,200,81906424-7535-4d9a-ad1d-af664c24bd51,128066,pauper relevant
99,Peach Garden Oath,PTK,NM,EN,N,P,,13.18,200,41bfd51a-0aca-4686-a9c5-11288f409a22,36799,pauper relevant
99,Ethereal Haze,CHK,NM,EN,F,P,,5.05,200,7f1996af-5f15-447f-9b1d-98a7e97df53a,7858,pauper relevant
99,Might of Old Krosa,TSP,NM,EN,F,P,,1.51,200,7b7b2c47-2123-45c1-993c-e7a2c9438855,44486,pauper relevant
99,Lotus Petal,PLST,NM,EN,N,P,,20.32,200,153983dd-54dc-420d-9249-665b0d669614,64131,pauper relevant
99,Crimson Acolyte,INV,NM,EN,F,P,,5.14,200,c1718028-3009-4bdd-9f6f-59c17edd1344,21357,pauper relevant
99,Muddle the Mixture,SLD,NM,EN,F,P,,3.67,200,b3c28fcb-09e8-4b58-bda2-339afb68fc9a,105155,pauper relevant
99,Muddle the Mixture,SLD,NM,EN,N,P,,2.65,200,b3c28fcb-09e8-4b58-bda2-339afb68fc9a,105129,pauper relevant
99,Peat Bog,MMQ,NM,EN,F,P,,30.77,200,bcc9d1e0-c8f4-4bac-90d4-8167f7a1515a,29830,pauper relevant
99,Peat Bog,MMQ,NM,EN,N,P,,1.58,200,bcc9d1e0-c8f4-4bac-90d4-8167f7a1515a,29831,pauper relevant
99,Counterspell,BRB,NM,EN,N,P,,1.14,200,9a765377-bc8c-480a-9903-bd942c20fc47,6238,pauper relevant
99,Ancient Den,PLST,NM,EN,N,P,,1.13,200,e22e5250-5285-4d7f-931b-545b73f5187f,63192,pauper relevant
99,Cast Down,CLB,NM,EN,F,P,,1.34,200,aba79021-39af-4e74-beb5-f2f508c865b2,89034,pauper relevant
99,Dark Ritual,30A,NM,EN,N,P,,6.47,200,fdb2f93b-3278-4b42-9fde-163b735da738,141355,pauper relevant
99,Dust to Dust,DRK,NM,EN,N,P,,5.03,200,ade075fd-73ee-4d12-a2da-48e5938043af,43446,pauper relevant
99,Mortician Beetle,ROE,NM,EN,F,P,,2.60,200,a19ee3e4-5f76-4c28-bee6-f1c063ec0cb3,39646,pauper relevant
99,Mortician Beetle,ROE,NM,EN,N,P,,1.30,200,a19ee3e4-5f76-4c28-bee6-f1c063ec0cb3,39647,pauper relevant
99,Khalni Garden,C13,NM,EN,N,P,,1.67,200,55d17634-db36-47e3-855f-7c3a8419cce7,9666,pauper relevant
99,Elvish Mystic,M15,NM,EN,F,P,,1.89,200,deb5ca6a-f91d-443d-ad84-6fe1e80bfb51,28382,pauper relevant
99,Temur Battle Rage,CMR,NM,EN,N,P,,1.04,200,d344f38d-0ef2-434b-914c-934c639e7e18,73016,pauper relevant
99,Abrade,SLD,NM,EN,N,P,,4.24,200,7b0d67b1-e7ae-4ec9-b135-8ff10b46e92b,143921,pauper relevant
99,Wild Growth,CEI,NM,EN,N,P,,1.85,200,261a3bb8-6033-4e1a-88d3-fe6ce2a30cc0,21203,pauper relevant
99,Archaeomancer,M13,NM,EN,F,P,,2.42,200,73c6d1be-55ad-4ee4-b044-88438e9b78cc,27258,pauper relevant
99,Murmuring Mystic,GRN,NM,EN,F,P,,1.03,200,5fc6adff-dcb3-456d-a8c2-0e77b784ff89,57156,pauper relevant
99,Gut Shot,PLST,NM,EN,N,P,,2.33,200,98423ff9-48e3-4985-9fe4-7c095c3ceee0,63939,pauper relevant
99,Lava Spike,SLD,NM,EN,N,P,,1.16,200,aebf5362-f9b9-451e-a2eb-b0e0fae1f974,136630,pauper relevant
99,Mulldrifter,SLD,NM,EN,F,P,,2.35,200,5d9acfe6-e1af-427b-86e1-05c35ce569a3,134234,pauper relevant
99,Counterspell,PLST,NM,EN,N,P,,1.44,200,a457f404-ddf1-40fa-b0f0-23c8598533f4,104973,pauper relevant
99,Fog,M11,NM,EN,F,P,,1.22,200,f5498e4d-8ccd-4874-8ecc-3b1819b15f85,26402,pauper relevant
99,Spirit Link,6ED,NM,EN,N,P,,1.84,200,52bb60c6-d5e9-474f-a20f-8f705e7372cd,1881,pauper relevant
99,Hickory Woodlot,MMQ,NM,EN,F,P,,70.00,200,af7aafb7-6870-4d09-a191-70786766c459,29674,pauper relevant
99,Hickory Woodlot,MMQ,NM,EN,N,P,,2.15,200,af7aafb7-6870-4d09-a191-70786766c459,29675,pauper relevant
99,Everflowing Chalice,TSR,NM,EN,F,P,,11.54,200,27875258-47af-4105-9ded-56e03dcbd9e7,75230,pauper relevant
99,Everflowing Chalice,TSR,NM,EN,N,P,,1.00,200,27875258-47af-4105-9ded-56e03dcbd9e7,75257,pauper relevant
99,Obsidian Acolyte,INV,NM,EN,F,P,,3.45,200,868efcee-bb13-4b6f-b81b-99408685e4c4,21580,pauper relevant
99,Growth Spiral,WHO,NM,EN,F,P,,1.06,200,7ac9e381-dbb8-478b-b385-9f09f0325e87,109022,pauper relevant
99,Carrion Feeder,DDE,NM,EN,N,P,,2.29,200,083f4ccc-9cfc-44b1-af77-304b65bd878b,15346,pauper relevant
99,Carrion Feeder,SLD,NM,EN,F,P,,28.43,200,c0e175cb-ffea-473f-8422-53273f263016,,pauper relevant
99,Carrion Feeder,SLD,NM,EN,N,P,,21.52,200,c0e175cb-ffea-473f-8422-53273f263016,98593,pauper relevant
99,Lembas,LTR,NM,EN,F,P,,3.42,200,ec66d2fe-fb19-4aac-8a3c-dcf391e423c5,111048,pauper relevant
99,Lembas,LTR,NM,EN,N,P,,2.80,200,ec66d2fe-fb19-4aac-8a3c-dcf391e423c5,111525,pauper relevant
99,Lightning Bolt,CED,NM,EN,N,P,,33.65,200,1ddc5922-f62a-4f91-809e-f959edfcfc6a,9043,pauper relevant
99,Snap,ULG,NM,EN,F,P,,63.09,200,f7e0549e-2d23-4ea8-b8d1-ae21af2c9091,46413,pauper relevant
99,Snap,ULG,NM,EN,N,P,,2.21,200,f7e0549e-2d23-4ea8-b8d1-ae21af2c9091,46414,pauper relevant
99,Sentinel Sliver,CMM,NM,EN,N,P,,1.17,200,7cb2cc85-f4a6-47ad-b94e-f16534d02ae2,105587,pauper relevant
99,Llanowar Elves,2ED,NM,EN,N,P,,3.68,200,fedd1b24-44ee-493a-b4db-3048ff5c760b,45756,pauper relevant
99,Snow-Covered Island,CSP,NM,EN,F,P,,6.55,200,6abf0692-07d1-4b72-af06-93d0e338589d,8762,pauper relevant
99,Snow-Covered Island,CSP,NM,EN,N,P,,1.28,200,6abf0692-07d1-4b72-af06-93d0e338589d,8763,pauper relevant
99,Sign in Blood,M13,NM,EN,F,P,,1.25,200,64f6600b-36c4-43bd-8c01-cfbca402ecd6,27635,pauper relevant
99,Mulldrifter,SLD,NM,EN,F,P,,1.06,200,a5ad7ebb-4994-49f1-a211-90bdccb6a91b,85929,pauper relevant
99,Mulldrifter,SLD,NM,EN,N,P,,1.07,200,a5ad7ebb-4994-49f1-a211-90bdccb6a91b,85926,pauper relevant
99,Carrion Feeder,MH1,NM,EN,F,P,,3.57,200,0a19da90-880e-4eca-8cf7-6d7baf090d53,59841,pauper relevant
